GEOID,YEAR,state,PCPrate,pctOBESE,FI,MIDWIVESrate,OBGYNrate,rtTEENBIRTH,rtSTD,MHCENTERrate,MHPROVIDERrate,rtDRUGODMORTALITY,pctNoVehicle,pctRural,rtSocASSOC,pctHOUSE_DISTRESS,rtVIOLENTCR,segregation,Racialized_pov
15001,2022,Hawaii,77.86856968251308,0.252,0.131,5.839700228721592,22.38551754343277,24.208712,373.7000000000001,0.0,5.322661725133806,11.0590985,0.0503256609813986,0.5958327225986854,6.649695057000001,0.225040199,237.3314087,27.08805903,1.5627002161653964
15003,2022,Hawaii,95.2152584200062,0.254,0.105,5.010898704682685,36.53780305497791,16.78127001,656.6,0.0,1.401752440328108,18.40005839,0.0961672160623314,0.0132977216624175,6.413130808,0.273878501,237.6523245,38.78659361,1.22344796434462
15005,2022,Hawaii,0.0,0.267,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,1.0,0.0,0.0,0.0,0.0,1.625
15007,2022,Hawaii,81.68377487951643,0.249,0.098,2.754138092483957,13.770690462419786,20.16007249,336.1,0.0,1.3613962479919404,18.95717067,0.0427800504830707,0.4201014689790098,9.68281853,0.233296337,235.3039459,36.70536132,0.7061576068722007
15009,2022,Hawaii,81.59735965558608,0.239,0.103,7.093540149437246,18.91610706516599,19.28521991,415.7000000000001,0.0,3.0446775990890327,16.71555303,0.0441821371144569,0.2105292627276417,7.466386329,0.272132658,293.2721713,40.89822405,1.0031746882775143
5001,2022,Arkansas,53.821313240043054,0.368,0.164,0.0,11.114816049794376,50.58255186,823.5,0.0,0.0,0.0,0.096661076383595,0.5330411717218314,12.58149377,0.121744792,472.8962871,29.35791005,3.9142335982845777
5003,2022,Arkansas,42.84031273428296,0.391,0.162,0.0,10.03713740841112,37.95966785,610.5,0.0,10.71007818357074,23.71193388,0.0885460105643591,0.6211716999253014,15.26173882,0.128869236,320.9196503,22.11630118,1.607854497443041
5005,2022,Arkansas,83.04859529233106,0.32,0.162,4.590735894963963,13.772207684891889,31.27833182,202.7,0.0,8.304859529233106,17.48904947,0.0438988486409757,0.598484514736332,9.30077268,0.108873163,182.3879355,24.62817987,1.6614396285719213
5007,2022,Arkansas,58.564754913310544,0.298,0.117,3.4532533099432974,17.266266549716487,24.50427476,328.90000000000003,0.0,0.1123626111708865,12.84914274,0.0281383203410007,0.247762804187889,8.669453789,0.117453755,274.5257531,28.88579181,1.825667643772314
5009,2022,Arkansas,76.65873645255088,0.324,0.161,5.243563525772115,5.243563525772115,32.68156425,259.1,0.0,4.308749669574412,11.55175631,0.0554969680991299,0.6085329341317365,11.22034623,0.117014122,551.2074385999999,39.654006,2.805925276498679
5011,2022,Arkansas,57.64796310530361,0.383,0.173,0.0,0.0,34.99562555,483.1,0.0,0.0,0.0,0.0864231948703652,0.4894539720086733,13.00752578,0.144432194,261.4025599,18.54783651,2.841735487061766
5013,2022,Arkansas,21.092596498628986,0.389,0.139,0.0,0.0,25.75107296,443.2000000000001,0.0,0.0,0.0,0.0327102803738317,1.0,11.56292157,0.111111111,211.1729699,9.053587368,2.904519418203628
5015,2022,Arkansas,63.302268331281866,0.339,0.143,7.038288288288288,0.0,41.91304348,257.2,0.0,0.0,24.74110204,0.0495729506031522,0.8550494477730456,12.68498943,0.14202509,336.5912486,31.95676953,1.7590210740225634
5017,2022,Arkansas,69.86725222078053,0.446,0.212,0.0,0.0,46.16132167,810.4000000000001,0.0,0.0,0.0,0.1142714570858283,1.0,9.883376161,0.147331787,366.7813802,54.82102385,2.141995732927104
5019,2022,Arkansas,56.28253834247924,0.401,0.17,0.0,25.94706798131811,17.20930233,797.5,0.0,0.0,0.0,0.0629792583280955,0.5785306204269821,14.33691756,0.131687243,329.4783628,24.34303071,2.512302842457029
5021,2022,Arkansas,6.968641114982578,0.376,0.204,0.0,0.0,49.55872369,254.3,0.0,0.0,22.84513284,0.0585518720105558,1.0,15.80647378,0.121118012,221.2389381,29.09603969,0.5279687500000001
5023,2022,Arkansas,59.96402158704777,0.357,0.163,0.0,0.0,38.1034856,184.6,0.0,3.9976014391365178,13.36558896,0.0306794654620741,0.7526244606169897,15.6507083,0.095526561,367.1850456,37.24306319,1.58753497006211
5025,2022,Arkansas,0.0,0.389,0.168,0.0,0.0,24.09638554,264.0,0.0,0.0,0.0,0.0696571845368344,1.0,6.284565108000001,0.075987842,95.27779432,14.35049643,3.8109083318423096
5027,2022,Arkansas,70.57163020465774,0.425,0.179,0.0,16.5371258475277,24.74122696,950.7,0.0,0.0,0.0,0.0416560184002044,0.5924174924993181,11.51042333,0.153459821,316.8448919,37.76035304,2.771184891867195
5029,2022,Arkansas,67.07229435155465,0.352,0.181,0.0,0.0,37.59398496,446.1,0.0,4.790878167968189,0.0,0.0746853478983614,0.6869168567281775,13.43183345,0.107374631,210.9954719,25.0438074,1.0022198550376458
5031,2022,Arkansas,115.84594271863692,0.396,0.16,1.7265193370165748,36.25690607734807,31.15253091,842.9000000000001,0.0,10.025129658343582,7.851782506,0.0680975655828669,0.3258948629624082,8.701011493000001,0.154044118,431.206082,41.40277781,3.0104003415485026
5033,2022,Arkansas,38.09334525820663,0.378,0.165,0.0,0.0,34.858539990000004,325.70000000000005,0.0,4.30620424657988,15.78349257,0.04821609256082,0.5083794466403162,6.955751933,0.131434599,380.194159,37.72942647,1.030205645873792
5035,2022,Arkansas,33.66649132035771,0.426,0.164,0.0,0.0,51.46684755,1184.4,0.0,0.0,19.45619923,0.0961962662075644,0.2024799210934197,9.592326139,0.168754999,1274.262551,45.87570127,2.57885044923732
5037,2022,Arkansas,41.963911036508605,0.386,0.165,0.0,0.0,38.10888252,694.3000000000001,0.0,5.994844433786943,0.0,0.093235831809872,0.5539881344759393,18.8805652,0.126213592,664.3174859999999,45.64296038,2.1538344562910385
5039,2022,Arkansas,15.85288522511097,0.407,0.16,0.0,0.0,24.56839309,841.8000000000001,0.0,0.0,0.0,0.0768894713848842,1.0,19.97431873,0.072487644,597.3638075,38.26244642,2.126519900730265
5041,2022,Arkansas,45.08566275924256,0.427,0.191,0.0,0.0,40.69975009,774.6,0.0,0.0,0.0,0.1459917445144471,0.6301984469370147,15.84367573,0.11741683,730.1419066,24.06353384,2.1269296375266524
5043,2022,Arkansas,81.82349503214493,0.388,0.161,0.0,0.0,30.76613714,675.1,0.0,4.091174751607246,0.0,0.0756545638651815,0.5270613875771886,10.97755091,0.135327635,361.8657372,23.7007184,1.943361127413124
5045,2022,Arkansas,57.55119658529566,0.374,0.153,0.0,24.551173852999845,20.75583758,536.5,0.7993221747957732,0.0,15.09006386,0.0481686218246265,0.4380381155074006,9.523280453,0.164644518,361.2358284,35.73238074,1.8582755792204748
5047,2022,Arkansas,34.9385663541606,0.37,0.2,0.0,0.0,34.90216817,287.90000000000003,0.0,8.15233214930414,0.0,0.0563758389261744,1.0,10.72537398,0.142647059,427.0022755,34.57199274,0.912662329212752
5049,2022,Arkansas,49.403046521202135,0.371,0.191,0.0,0.0,38.80070547,160.3,0.0,1.6467682173734048,0.0,0.053765690376569,1.0,8.014747135,0.149,183.6284991,36.52707096,0.937331989247312
5051,2022,Arkansas,85.71713345958338,0.362,0.174,0.0,11.594202898550725,37.7869898,476.9,0.0,4.983554270906009,29.16243476,0.0621240166589541,0.3025264686771394,11.36981064,0.146760246,644.6414182,41.47706102,2.3016157133669566
5053,2022,Arkansas,11.05583195135434,0.346,0.155,0.0,0.0,25.08151492,240.9,0.0,0.0,0.0,0.0240665110851808,0.7300676106646256,9.30741856,0.138643068,254.3825693,20.84974779,2.2805889118932594
